
*******   STEP   1      *** NEFF=10 CALCULATION                
    1   0.412E-02   0.546E-02   0.228E-02
    2   0.187E-02   0.110E-01   0.162E-02
    3   0.147E-02   0.690E-02   0.831E-03
    4   0.888E-03   0.358E-02   0.498E-03
    5   0.316E-03   0.209E-02   0.429E-03
    6   0.156E-03   0.160E-02   0.413E-03
    7   0.248E-03   0.137E-02   0.468E-03
    8   0.214E-03   0.124E-02   0.354E-03
    9   0.141E-03   0.858E-03   0.138E-03

*******   STEP  33      *** NEFF=10 CALCULATION                
    1   0.408E-02   0.546E-02   0.222E-02
    2   0.185E-02   0.106E-01   0.158E-02
    3   0.145E-02   0.661E-02   0.783E-03
    4   0.878E-03   0.335E-02   0.379E-03
    5   0.316E-03   0.190E-02   0.345E-03
    6   0.118E-03   0.153E-02   0.369E-03
    7   0.217E-03   0.128E-02   0.379E-03
    8   0.196E-03   0.105E-02   0.256E-03
    9   0.125E-03   0.688E-03   0.106E-03

*******   STEP  34      *** NEFF=10 CALCULATION                
    1   0.403E-02   0.550E-02   0.217E-02
    2   0.184E-02   0.102E-01   0.154E-02
    3   0.143E-02   0.632E-02   0.752E-03
    4   0.868E-03   0.313E-02   0.298E-03
    5   0.318E-03   0.174E-02   0.287E-03
    6   0.889E-04   0.145E-02   0.339E-03
    7   0.192E-03   0.121E-02   0.316E-03
    8   0.179E-03   0.915E-03   0.185E-03

*******   STEP  35      *** NEFF=10 CALCULATION                
    1   0.396E-02   0.552E-02   0.210E-02
    2   0.182E-02   0.966E-02   0.149E-02
    3   0.140E-02   0.595E-02   0.737E-03
    4   0.843E-03   0.296E-02   0.266E-03
    5   0.313E-03   0.160E-02   0.262E-03
    6   0.750E-04   0.136E-02   0.340E-03
    7   0.173E-03   0.115E-02   0.293E-03
    8   0.164E-03   0.838E-03   0.142E-03

*******   STEP  36      *** NEFF=10 CALCULATION                
    1   0.392E-02   0.553E-02   0.206E-02
    2   0.180E-02   0.929E-02   0.145E-02
    3   0.137E-02   0.566E-02   0.685E-03
    4   0.828E-03   0.269E-02   0.181E-03
    5   0.312E-03   0.140E-02   0.250E-03
    6   0.453E-04   0.130E-02   0.295E-03
    7   0.147E-03   0.107E-02   0.202E-03
    8   0.145E-03   0.670E-03   0.126E-03

*******   STEP  37      *** NEFF=10 CALCULATION                
    1   0.386E-02   0.550E-02   0.203E-02
    2   0.177E-02   0.895E-02   0.141E-02
    3   0.135E-02   0.537E-02   0.639E-03
    4   0.815E-03   0.242E-02   0.183E-03
    5   0.317E-03   0.122E-02   0.265E-03
    6   0.369E-04   0.125E-02   0.242E-03
    7   0.122E-03   0.992E-03   0.161E-03

*******   STEP  38      *** NEFF=10 CALCULATION                
    1   0.376E-02   0.540E-02   0.196E-02
    2   0.171E-02   0.839E-02   0.134E-02
    3   0.129E-02   0.499E-02   0.590E-03
    4   0.779E-03   0.214E-02   0.256E-03
    5   0.312E-03   0.105E-02   0.320E-03
    6   0.548E-04   0.119E-02   0.201E-03
    7   0.101E-03   0.916E-03   0.196E-03

*******   STEP  39      *** NEFF=10 CALCULATION                
    1   0.372E-02   0.538E-02   0.195E-02
    2   0.169E-02   0.807E-02   0.131E-02
    3   0.126E-02   0.471E-02   0.553E-03
    4   0.761E-03   0.186E-02   0.398E-03
    5   0.316E-03   0.944E-03   0.390E-03

*******   STEP  40      *** NEFF=10 CALCULATION                
    1   0.375E-02   0.578E-02   0.194E-02
    2   0.170E-02   0.745E-02   0.129E-02
    3   0.123E-02   0.442E-02   0.496E-03
    4   0.707E-03   0.171E-02   0.437E-03
    5   0.273E-03   0.844E-03   0.535E-03

*******   STEP  41      *** NEFF=10 CALCULATION                
    1   0.372E-02   0.592E-02   0.194E-02
    2   0.170E-02   0.714E-02   0.128E-02
    3   0.121E-02   0.419E-02   0.462E-03
    4   0.681E-03   0.150E-02   0.529E-03
    5   0.260E-03   0.855E-03   0.631E-03

*******   STEP  42      *** NEFF=10 CALCULATION                
    1   0.413E-02   0.611E-02   0.226E-02
    2   0.149E-02   0.684E-02   0.126E-02
    3   0.675E-03   0.388E-02   0.482E-03
    4   0.398E-03   0.211E-02   0.368E-03
    5   0.359E-03   0.108E-02   0.165E-03
    6   0.237E-03   0.449E-03   0.111E-03

*******   STEP  43      *** NEFF=10 CALCULATION                
    1   0.367E-02   0.578E-02   0.203E-02
    2   0.168E-02   0.694E-02   0.123E-02
    3   0.120E-02   0.381E-02   0.512E-03
    4   0.428E-03   0.133E-02   0.336E-03
    5   0.345E-03   0.780E-03   0.299E-03

*******   STEP  44      *** NEFF=10 CALCULATION                
    1   0.368E-02   0.587E-02   0.210E-02
    2   0.165E-02   0.684E-02   0.120E-02
    3   0.117E-02   0.364E-02   0.592E-03
    4   0.441E-03   0.132E-02   0.382E-03
    5   0.361E-03   0.778E-03   0.445E-03

*******   STEP  45      *** NEFF=10 CALCULATION                
    1   0.364E-02   0.581E-02   0.214E-02
    2   0.162E-02   0.662E-02   0.116E-02
    3   0.859E-03   0.359E-02   0.602E-03
    4   0.668E-03   0.187E-02   0.592E-03
    5   0.407E-03   0.882E-03   0.628E-03

*******   STEP  46      *** NEFF=10 CALCULATION                
    1   0.365E-02   0.630E-02   0.209E-02
    2   0.169E-02   0.625E-02   0.126E-02
    3   0.113E-02   0.337E-02   0.464E-03
    4   0.317E-03   0.122E-02   0.339E-03
    5   0.289E-03   0.605E-03   0.318E-03

*******   STEP  47      *** NEFF=10 CALCULATION                
    1   0.356E-02   0.581E-02   0.216E-02
    2   0.158E-02   0.625E-02   0.113E-02
    3   0.787E-03   0.334E-02   0.549E-03
    4   0.614E-03   0.177E-02   0.708E-03
    5   0.386E-03   0.111E-02   0.752E-03
    6   0.238E-03   0.962E-03   0.162E-03

*******   STEP  48      *** NEFF=10 CALCULATION                
    1   0.350E-02   0.582E-02   0.218E-02
    2   0.154E-02   0.597E-02   0.113E-02
    3   0.685E-03   0.317E-02   0.474E-03
    4   0.427E-03   0.181E-02   0.380E-03
    5   0.376E-03   0.102E-02   0.175E-03
    6   0.252E-03   0.493E-03   0.179E-03

*******   STEP  49      *** NEFF=10 CALCULATION                
    1   0.340E-02   0.574E-02   0.213E-02
