          Evm          Svm            E11          E22          E33          E23          E13          E12         SDEV11       SDEV22       SDEV33       SDEV23       SDEV13       SDEV12      TEMP
  0.43195E+00  0.11521E+03    0.38000E+00  0.21094E-16 -0.38000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59532E+02  0.12197E+02 -0.71729E+02  0.24722E+00  0.66964E+00 -0.22507E+01      298.00
  0.44335E+00  0.11525E+03    0.39000E+00  0.21649E-16 -0.39000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59516E+02  0.12261E+02 -0.71778E+02  0.27887E+00  0.67409E+00 -0.21690E+01      298.00
  0.45474E+00  0.11531E+03    0.40000E+00  0.22204E-16 -0.40000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59574E+02  0.12235E+02 -0.71809E+02  0.26404E+00  0.68216E+00 -0.20700E+01      298.00
  0.46613E+00  0.11537E+03    0.41000E+00  0.22760E-16 -0.41000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59614E+02  0.12224E+02 -0.71837E+02  0.27303E+00  0.68653E+00 -0.20025E+01      298.00
  0.47753E+00  0.11542E+03    0.42000E+00  0.23315E-16 -0.42000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59617E+02  0.12269E+02 -0.71886E+02  0.29434E+00  0.69052E+00 -0.19430E+01      298.00
  0.48892E+00  0.11547E+03    0.43000E+00  0.23870E-16 -0.43000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59645E+02  0.12274E+02 -0.71919E+02  0.28845E+00  0.69849E+00 -0.18362E+01      298.00
  0.50031E+00  0.11551E+03    0.44000E+00  0.24425E-16 -0.44000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59635E+02  0.12328E+02 -0.71963E+02  0.31125E+00  0.70231E+00 -0.17821E+01      298.00
  0.51171E+00  0.11556E+03    0.45000E+00  0.24980E-16 -0.45000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59673E+02  0.12322E+02 -0.71994E+02  0.30454E+00  0.70924E+00 -0.16883E+01      298.00
  0.52310E+00  0.11561E+03    0.46000E+00  0.25535E-16 -0.46000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59699E+02  0.12328E+02 -0.72027E+02  0.31293E+00  0.71306E+00 -0.16342E+01      298.00
  0.53450E+00  0.11563E+03    0.47000E+00  0.26090E-16 -0.47000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59667E+02  0.12401E+02 -0.72068E+02  0.33526E+00  0.71733E+00 -0.15806E+01      298.00
  0.54589E+00  0.11569E+03    0.48000E+00  0.26645E-16 -0.48000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59710E+02  0.12387E+02 -0.72097E+02  0.32758E+00  0.72313E+00 -0.15001E+01      298.00
  0.55728E+00  0.11574E+03    0.49000E+00  0.27200E-16 -0.49000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59735E+02  0.12393E+02 -0.72128E+02  0.33548E+00  0.72612E+00 -0.14607E+01      298.00
  0.56867E+00  0.11574E+03    0.50000E+00  0.27756E-16 -0.50000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.59688E+02  0.12475E+02 -0.72162E+02  0.35801E+00  0.72993E+00 -0.14165E+01      298.00
