     Evm         C11  C22  C33  C23  C13  C12   C44  C55  C66                                                                   A1  A2  A3
     0.94644     0.2808E+03  0.2825E+03  0.2740E+03  0.1027E+03  0.1043E+03  0.9587E+02  0.6348E+02  0.7006E+02  0.6915E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.96950     0.2812E+03  0.2830E+03  0.2743E+03  0.1025E+03  0.1043E+03  0.9552E+02  0.6324E+02  0.7000E+02  0.6894E+02     0.1000E-05  0.1000E-05  0.1000E-05
     0.99257     0.2816E+03  0.2836E+03  0.2745E+03  0.1023E+03  0.1042E+03  0.9518E+02  0.6299E+02  0.6994E+02  0.6873E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.01563     0.2820E+03  0.2841E+03  0.2748E+03  0.1021E+03  0.1042E+03  0.9485E+02  0.6275E+02  0.6988E+02  0.6852E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.03868     0.2823E+03  0.2846E+03  0.2750E+03  0.1019E+03  0.1041E+03  0.9453E+02  0.6251E+02  0.6983E+02  0.6832E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.06174     0.2827E+03  0.2851E+03  0.2752E+03  0.1017E+03  0.1041E+03  0.9421E+02  0.6227E+02  0.6977E+02  0.6813E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.08479     0.2830E+03  0.2856E+03  0.2754E+03  0.1015E+03  0.1040E+03  0.9391E+02  0.6203E+02  0.6972E+02  0.6793E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.10784     0.2834E+03  0.2860E+03  0.2757E+03  0.1013E+03  0.1040E+03  0.9362E+02  0.6180E+02  0.6966E+02  0.6775E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.13088     0.2837E+03  0.2865E+03  0.2759E+03  0.1012E+03  0.1040E+03  0.9334E+02  0.6157E+02  0.6960E+02  0.6757E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.15392     0.2840E+03  0.2869E+03  0.2761E+03  0.1010E+03  0.1039E+03  0.9307E+02  0.6134E+02  0.6955E+02  0.6739E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.17696     0.2843E+03  0.2874E+03  0.2763E+03  0.1008E+03  0.1039E+03  0.9281E+02  0.6112E+02  0.6949E+02  0.6722E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.19999     0.2846E+03  0.2878E+03  0.2765E+03  0.1006E+03  0.1039E+03  0.9256E+02  0.6090E+02  0.6944E+02  0.6705E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.22302     0.2849E+03  0.2882E+03  0.2767E+03  0.1005E+03  0.1038E+03  0.9231E+02  0.6069E+02  0.6939E+02  0.6689E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.24604     0.2851E+03  0.2886E+03  0.2769E+03  0.1003E+03  0.1038E+03  0.9208E+02  0.6047E+02  0.6934E+02  0.6673E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.26906     0.2854E+03  0.2890E+03  0.2771E+03  0.1002E+03  0.1038E+03  0.9185E+02  0.6027E+02  0.6929E+02  0.6657E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.29207     0.2856E+03  0.2894E+03  0.2773E+03  0.1000E+03  0.1037E+03  0.9164E+02  0.6007E+02  0.6925E+02  0.6642E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.31507     0.2859E+03  0.2897E+03  0.2775E+03  0.9985E+02  0.1037E+03  0.9143E+02  0.5987E+02  0.6920E+02  0.6627E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.33807     0.2861E+03  0.2901E+03  0.2776E+03  0.9970E+02  0.1037E+03  0.9122E+02  0.5968E+02  0.6916E+02  0.6613E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.36106     0.2863E+03  0.2904E+03  0.2778E+03  0.9955E+02  0.1036E+03  0.9102E+02  0.5949E+02  0.6913E+02  0.6599E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.38405     0.2866E+03  0.2908E+03  0.2780E+03  0.9940E+02  0.1036E+03  0.9083E+02  0.5931E+02  0.6909E+02  0.6585E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.40702     0.2868E+03  0.2911E+03  0.2782E+03  0.9925E+02  0.1036E+03  0.9064E+02  0.5913E+02  0.6906E+02  0.6572E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.42999     0.2870E+03  0.2914E+03  0.2783E+03  0.9911E+02  0.1036E+03  0.9046E+02  0.5896E+02  0.6902E+02  0.6559E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.45295     0.2872E+03  0.2917E+03  0.2785E+03  0.9897E+02  0.1035E+03  0.9029E+02  0.5879E+02  0.6899E+02  0.6546E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.47591     0.2874E+03  0.2921E+03  0.2787E+03  0.9883E+02  0.1035E+03  0.9012E+02  0.5862E+02  0.6896E+02  0.6534E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.49885     0.2876E+03  0.2924E+03  0.2788E+03  0.9869E+02  0.1035E+03  0.8995E+02  0.5846E+02  0.6893E+02  0.6522E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.52178     0.2878E+03  0.2926E+03  0.2790E+03  0.9856E+02  0.1034E+03  0.8979E+02  0.5830E+02  0.6890E+02  0.6510E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.54471     0.2879E+03  0.2929E+03  0.2791E+03  0.9843E+02  0.1034E+03  0.8963E+02  0.5814E+02  0.6887E+02  0.6498E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.56762     0.2881E+03  0.2932E+03  0.2793E+03  0.9831E+02  0.1034E+03  0.8948E+02  0.5799E+02  0.6885E+02  0.6487E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.59053     0.2883E+03  0.2935E+03  0.2794E+03  0.9818E+02  0.1034E+03  0.8934E+02  0.5783E+02  0.6882E+02  0.6475E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.61342     0.2885E+03  0.2937E+03  0.2796E+03  0.9806E+02  0.1033E+03  0.8919E+02  0.5769E+02  0.6879E+02  0.6464E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.63631     0.2886E+03  0.2940E+03  0.2797E+03  0.9795E+02  0.1033E+03  0.8906E+02  0.5754E+02  0.6876E+02  0.6454E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.65918     0.2888E+03  0.2942E+03  0.2799E+03  0.9783E+02  0.1033E+03  0.8892E+02  0.5739E+02  0.6873E+02  0.6443E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.68204     0.2889E+03  0.2945E+03  0.2800E+03  0.9772E+02  0.1033E+03  0.8880E+02  0.5726E+02  0.6870E+02  0.6433E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.70490     0.2891E+03  0.2947E+03  0.2801E+03  0.9761E+02  0.1032E+03  0.8867E+02  0.5712E+02  0.6868E+02  0.6423E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.72774     0.2892E+03  0.2949E+03  0.2803E+03  0.9750E+02  0.1032E+03  0.8855E+02  0.5698E+02  0.6865E+02  0.6413E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.75057     0.2894E+03  0.2952E+03  0.2804E+03  0.9740E+02  0.1032E+03  0.8844E+02  0.5685E+02  0.6861E+02  0.6404E+02     0.1000E-05  0.1000E-05  0.1000E-05
     1.77339     0.2895E+03  0.2954E+03  0.2805E+03  0.9730E+02  0.1032E+03  0.8832E+02  0.5672E+02  0.6859E+02  0.6394E+02     0.1000E-05  0.1000E-05  0.1000E-05
